"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"gavin-thelordofthefu-48-460297","2 May 2020","The Incredible Hulk, based on another marvel superhero and also the 1970s TV show, revolves around Bruce Banner becoming a fugitive after his science experiment exposes gamma radiation on him which transforms him into the Hulk which becomes his appearance for brief periods of time. Meanwhile, General Ross and his army including Emil Blonsky tracks down Bruce and little does he know that Emil decides to use a serum that would give him some abilities while also transforming him into an even worse creature imaginable.Out of all the MCU films I've seen, the one that didn't make as much money compared to the others is this. Which is a shame because this is directed by Louis Leterrier, who would later direct the terrible Clash of the Titans remake, Now You See Me, and the recent TV show The Dark Crystal: Age of Resistance (which I severely liked). And the acting from everyone involved is good. Edward Norton does a great job as Bruce Banner, Liv Tyler from The Lord of the Rings trilogy does a good job too as Betty as did William Hurt and Tim Roth and Tim Blake Nelson. Sure, the villain could've been developed more and the second act of the film could've been better, but everything else is done very well. The cinematography is gorgeous, the pacing is decent, the editing is superb, the music from Craig Armstrong is rousing, and the action sequences are solid.So, overall, this isn't a perfect film by any means but it's way better than the 2003 version (which isn't terrible but could've been much better). To those who have seen most of the MCU films or not, certainly give this one a go. :)","
            8/10
            "
"Oeuvre_Klika","8 May 2019","As I am writing this review, Avengers: Endgame is breaking box-office records as the culmination of 11 years of the MCU. Marvel Studios has become a juggernaut that seemingly nothing can ever stop. When The Incredible Hulk came out in 2008, the second movie of the so-called « Phase 1 » after Iron Man, such a success was merely a hope, if it was envisaged at all.However, this movie is an oddity in the MCU. It isn't considered an essential watch, a lot of people just forget about it, or simply have never seen it. And this isn't very suprising, as The Incredible Hulk has a completely different feel as any other MCU movie. There are no vibrant colors, jokes are few and far between, and, supreme heresy, it doesn't even feature the beloved Mark Ruffalo as Bruce Banner / the Hulk. Despite that, I think this movie should be more recognized by Marvel enthusiasts.For one, I was surprised at the number of foreshadowing in it. Despite its reputation, it is very clear, watching now, that it was definitely intended as the beginning of a cinematic universe. There are references to Stark Industries, to super soldiers, to S.H.I.E.L.D., and the movie clearly lays the ground for a sequel (that never happened and probably never will).The performances were strong, and I will single out Edward Norton, who left the Marvel boat after this, for reasons still a bit unclear. Watching this movie made me regret that he didn't stay in the role for more movies (no disrespect to Mr. Ruffalo whom I like a lot, as does everyone). I am a big fan of Edward Norton in general, from whom I have never seen an unenjoyable performance. That stays true for this movie. To me, his casting as Bruce Banner was an inspired one. He portrayed the tortured soul of the character exactly as I envision it, and with a lot of nuances.The story itself isn't very remarkable. It's fairly conventional, although maybe not totally conventional for a superhero movie. I would say it's more of a thriller, about a man on the run from the military who are after his secrets and his life. We've seen this story before, but here the man also happens to turn into a big, green monster when his pulse gets too high. It isn't just a thriller, though, bu also very much a love story, which may be one of the reasons of its unpopularity (?). If that's the case, then it's a shame, because I found the love story actually well done. There was a real chemistry between Edward Norton and Liv Tyler, who portrayed a sweet, but capable Betty Ross, and there wasn't a moment where I didn't believe that these two characters were completely in love.What this movie might be criticized for, is a lack of the titular Hulk. It's true that it's mainly Banner's story. However, the scenes in which the Hulk appears are very satisfying. I must say I was impressed by the CGI. It isn't as modern as what we're used to see nowadays, but still very good. In a movie with such a realistic feel, it's even more difficult to make a huge CGI monster look like it's really there in the scene, but I though that it worked perfectly.This movie definitely is the odd one out in regards to the whole MCU, but I think it deserves not to be forgotten or dismissed. Not only is its quality on par with other, more popular Marvel movies, it is also our only Hulk solo movie, and it will stay so for the foreseeable future, due to the distribution deal between Marvel and Universal. So, if you're taking a nostalgia trip through the history of the MCU, or if you're only just now starting to delve into this cinematic universe, don't skip the Incredible Hulk.","
            8/10
            "
"MovieAddict2016","15 June 2008","In 2003, Ang Lee's Hulk was released to commercial success  breaking box office records for a June opening and smashing its way to the top of the box office, it outperformed many analysts' expectations and was well on its way to becoming one of the biggest comic book films ever produced.Then, of course, the negative word of mouth caught up with it  and by the following weekend it had dropped a colossal 60%. It was quickly left floundering in theaters and only turned a profit thanks to worldwide intake.Marvel wasn't quite sure what to do  the film's huge opening indicated an inherent interest in the material, but fans obviously didn't enjoy what they were seeing.Ang Lee's film was, to be fair, admirable in its scope and ambitions  it wasn't your typical comic book action film. But, at the end of the day, most audiences don't want two-and-a-half hour psychological explorations when they go to see a Hulk movie  they want big battle scenes and lots of bruising action, both of which the 2003 Hulk  for the most part  failed to deliver.I count myself among the masses that disliked the 2003 film  not because I was a fan of the comics and not because I was disappointed in its treatment of the material; not even because I thought it was boring, necessarily. I simply thought in spite of its aim to be an intelligent movie, it was quite silly and pretentious  the end fight sequence was appalling, for example. It was a film containing moments of genius cornered by lots of unnecessary scenes and scenery chewing by Nick Nolte.So, with this in mind, the ultimate question is: does the 2008 Hulk deliver on its promise to be bigger, bolder and better? Well, in short, yes  it's still not a great film by any means, and it has its fair share of flaws (most notably the last twenty minutes which, despite a cool battle sequence, go overboard in their destruction), but at the end of the day, it's an entertaining summer blockbuster with a cast that's probably a little better than it deserves.Edward Norton would have been my last choice as Bruce Banner  not because I think he's bad for the role, but rather because he is such an unexpected choice. Renowned for his anti-mainstream approach to film-making and his artistic credibility, his placement in a comic book franchise sequel/reboot is puzzling to say the least  it would be like Christian Bale taking on a role in a Batman or Terminator movie (oh, wait).The thing is: Norton delivers a solid performance. I'm not sure if it's better than what Eric Bana tried to achieve (I'd say Bana's performance is a bit more complex overall), but I think that's partly due to the film's length and also because it's so action-packed. For what it's worth, Norton tries his best to inject some humanity into the character; the whole Dr. Jekyll and Mr. Hyde aspect is more prevalent here than in the 2003 film. In that movie, Bana's Banner admitted to enjoying the transformation into the Hulk; in 2008, Norton is struggling to conceal and control it.William Hurt replaces Sam Elliot as General Ross, the man responsible for Bruce's predicament. The movie is essentially a cat-and-mouse game, with Banner hiding away in Brazil for over a year, until Ross finally discovers his location  prompting Bruce to flee back to North America in a last-ditch effort to find a cure for his ""disease."" He reunites with Ross' daughter, Betty (Liv Tyler), and finds himself at odds with an overzealous combatant named Blonsky (played by Tim Roth), who eventually transforms into Abomination.My problems with the film are most present in the latter half. The first 45 minutes is a lot of fun and is rather cleverly made  the fight scenes are engaging and Roth establishes his anti-hero villain. But suddenly halfway through the movie, Blonsky turns into an unmotivated cliché of a bad guy, and by the end of the film you lose all care and understanding for the character. Once he transforms into the Abomination and goes on a citywide rampage in search of an equal foe (in this case, the Hulk), his reasons are puzzling.This is where the film truly falls apart, because suddenly General Ross is responsible for millions of dollars' worth of damage and civilian casualties (without spoiling any surprises, he is responsible for Blonsky's transformation), and he's flying around in an Army helicopter following the city's destruction, but nobody really seems to care. He never loses his job, even after he tears up a college campus in search of the Hulk earlier in the film. It may be pointless to criticize a comic book film for lapses in logic, but since the film strives for a sense of realism in its early scenes, the switch to excess halfway through is a bit disheartening. The 2003 Hulk had the same problems, incidentally  I'm wondering if it's a flaw of the comic book or just the character itself; perhaps it's too hard to retain realism when you've got a 12-foot giant green dude destroying everything in sight.If I'm being too critical, it's only because I enjoyed the film and regretted these aspects. At the end of the day, it's a fun, entertaining summer blockbuster -- and that's really all it needed to be.","
            7/10
            "
"Aaron1375","15 June 2008","This movie was the second film to release that would set up the 2012 Avengers film. In retrospect, it was a bit of a mistake as it did underwhelming business at the box office; especially when you compare the box office take of this film and the first film to release, Iron Man. Why is it a mistake, well there was already a Hulk movie released only five years prior to this one and it too was a disappointment. That being said, this is the better film than the 2003 Ang Lee film, I just feel it released too soon after it. I think if that film had not existed, this one would have performed considerably better. Not the 300 plus Iron Man did, but perhaps a 200 million dollar film rather than making about the same amount as Ang Lee's film did. I also believe they tried to do a bit too much with the story, not that it is complex, just that they almost blend the comics, with the television show and the 2003 film. At the end of the 2003 film, Bruce is in South America, at the beginning of this one he is in Brazil...so it's a sequel? No, not at all. The origin that is shown during the credits alludes to the television show, but Hulk looks like the comics. Just too much and trying to appease too many people all at the same time. I also think Norton was poorly cast in this one, as I did not get a Banner vibe from him at all. He just does not seem like he is into the role and considering he did not opt into doing the Avengers film and beyond suggests that he was not into it.The story has Bruce in Brazil working at some strange soda plant or something. Looks like Mt. Dew, but has some funky name. Well, a slight accident leads to some of his blood getting into a bottle and this is how the military and General Ross track him down. Bruce is in chats with a man dubbed Mr. Blue in the hopes of finding a cure; however, he must find more data for Mr. Blue to create a cure. A crack team of soldiers try to track down Banner and he avoids them for a while, but soon turns into the Hulk, leading one of the soldiers, Emil Blonsky, wanted another crack at the beast. He is soon infused with super soldier serum and does quite admiral in dodging the Hulk, but it is still not enough. He craves the power the Hulk haves and soon this desire will create an abomination! The film is pretty good, but could have been better. The scenes with the Hulk are by far the highlights and better than any of the Hulk scenes in the 2003 film with the incredible expanding Hulk. That being said, I did not like the fact they tied Banner turning into Hulk with his heart rate as it is solely tied to his anger. The film also did not portray the Hulk becoming stronger the angrier he got and the fight with Abomination should have showcased this. In the comics, Hulk is stronger than Abomination because of the increase as he gets angry. Abomination though is a better fighter as he is more agile and that is why he gives the Hulk a good fight, not because he is stronger. The reason the Hulk wins is because he keeps getting stronger, not because he is a better tactical fighter.So, in the end, this film was more enjoyable than the Ang Lee film. That film was just strange in many ways as it played out in comic panels which suggests a fun film, but was so serious with virtually not humor that it was just a strange concoction. This one had some good action, but was not a perfect film. Hurt is the only actor from this film to be seen in a later Marvel universe film as he appeared in Captain America: Civil War. Most things from this film were pretty much scrapped though as the Leader looked to be coming, Abomination was still alive and various other things. Abomination was supposedly going to be in the second Avengers film and that would have been great as I felt Ultron was not enough, but they decided against it which sucked as something other than the exact same robot would have been cool. In the end, this film is kind of part of the Marvel universe and kind of not.","
            8/10
            "
"ThunderKing6","20 February 2019","Another movie hated by spoiled, weird fans and people.what's not to like?","
            9/10
            "
"A_Different_Drummer","20 February 2016","About 1100 reviews on the old IMDb and I am going to do something I have never done before -- review on a bell curve.Seriously, before you start listing all the things you DIDN'T like, ask yourself how many live action Hulk movies have there been outside of the Avenger ensemble acts? Answer: Two. Only two. Just two.And the entry from Ang Lee was so wretched, so horrific, that this one gets a push up the curve.It is actually a solid film. Roth makes a great villain. Tyler was a great love interest. (The scene where Hulk becomes a giant fire extinguisher is one for the record books and memorable). And Norton is arguably the highest-level A-lister to ever play the role.(Or, also arguably, to ever play it again -- notice he was gone from the Avenger movies. Also notice that the two solo-Hulk movies did so poorly at the box office that this one actually ends with a promo for the coming Avengers, suggesting that the suits at Marvel are no longer interested in gambling on Hulk in a film by himself and all your future Hulk movies may be of the animated variety).All done, this is a much better film than the reviews would suggest.","
            10/10
            "
"DICK STEEL","12 June 2008","The crowded streets and cluttered housing on the streets of Rio De Janeiro provided some reminiscence of Jackie Chan's Police Story, where you could be sure of a chase scene zig- zagging the streets to take advantage of the wonderful opportunities presented for an exhilarating chase. And Leterrier doesn't try not to provide action junkies plenty of action- smashing moments as we root for Bruce Banner to hulk up, unfortunately of course, to satisfy our lust for some unadulterated action where everything in the way of the Hulk, gets smashed. However those expecting action from the get go will be disappointed, as there were only a small handful of action sequences, though of course they include the classic moments that comic fans had been baying for since 4 years ago. So I guess most will be left happy as we see some nifty moves by the Hulkster, which will leave a smile on your face, despite being used in limited doses. But I note though that the story cum action, looked a little bit like Superman II with the seeking of a cure and the deliberate loss of power to be with the lady love, and the duking out between super-beings on equal footing (here being gamma-powered), with a tinge of Cloverfield like moments too.While there will be those who will gripe about the transformation mainly done in the dark and in shadows, it does prove to be effective in building some anticipation and heigntened tension as to when he will finally appear in full glory. The mainly military attacks on the big guy again brought out some back to basics adversary with Thunderbolt Ross trying to capture the Hulk, and in fact I'd appreciate that this movie didn't divert too much away from this primary objective, although it might be more of the same from the first movie. But while the Hulk has an aura of invulnerability, somehow The Incredible Hulk provided me at least, an emotional pang when he gets hurt bad, as we remember that this is a guy who just plainly wants to be left alone. And the angrier the Hulk gets, the bigger and more powerful he becomes too.And it's not all serious here too, with well meaning humour peppered in the right places, making numerous references to the television series and characters from the Marvel universe. You'd often wonder how his pants stay on before-during-and-after transformation, well, it gets addressed here with humour. Memorable ines such as ""don't- make-me-angry-you-wouldn't-like-me-when-I'm-angry"" gets punned away, even the late Bill Bixby got a cameo, together with Lou Ferrigno who reprises his security guard role, and Stan Lee who's possibly in the most unmemorable cameo appearance ever. The much touted Tony Stark appearance will bring whoops of joy from newly converted fans of Robert Downey Jr, while I suspect in line with the rumoured Avengers movie, the universe now seemed more streamlined again with the references to SHIELD, and stupid me thinking that Mr Fantastic would somewhat be featured in this too. A WWII super soldier project and serum was referenced and formed the basis for Tim Roth's Emil Blonsky turned Abomination, but Captain America? I'll leave that to you to find out.But what I really liked about The Incredible Hulk is not the action sequences, nor the references mentioned made. It was the central love story between Bruce Banner and Betty Ross. In Lee Ang's version, we don't see much of the romance between Bana and Connelly because the story didn't really call for it, save for a rescue scene, and at an in-juncture where the Hulk was stopped in his tracks by his lady love. And that was precisely the winner for me. The Hulk, for all his power and unstoppable rage, could be brought under control by his lady love, and that was used to great effect here. Beneath the green invulnerability lies the heart of a mild-mannered man who yearns to be with the love of his life, but unfortunately cannot due to the curse that Fate had brought upon him. Both Norton and Tyler managed to bring out this chemistry of lovers torned apart, one who can only admire the other from afar, and the other finally never wanting to let go of someone who had disappeared from her life for her own protection. And this version of Betty does sport a bit of a temper and feisty too, and is not really your classic damsel in distress.Granted that most supporting characters were rather one-dimensional, The Incredible Hulk somehow managed to straddle between its intense whack-all-destroy-all moments, and tender ones when the lovers are left alone to their own devices. As with the Marvel movies to date, the doors are left wide opened for follow ups and team-ups, and here there are no less than three avenues where the next story could develop further from, and sowed the seed for other movie franchises to be developed too. It drained a little bit from the cerebral department in order to amplify the romance, and let the action go into overdrive. HUlk Smash indeed, this time likely to make a huge dent at the box office, for fans and non-fans alike to be won over, just like how Iron Man did.","
            9/10
            "
"vip_ebriega","22 January 2010","My Take: Flawed but modestly entertaining, and compared to the previous HULK opus, a little better.Among the others, I was disappointed by Ang Lee's HULK. I have no problem with a more character-driven superhero/comic book movie, but in the expense of deepening the character's persona, it lacks the good ol' comic book action fans have grown to love. Louis Leterrier's reboot/semi-sequel THE INCREDIBLE HULK makes up for that. It's still a flawed experience, with some scenes that still pad out the better bits, but in terms of pure big-screen comic book experience, it's an improvement, albeit not a vast one.In case you actually liked the Ang Lee version, Leterrier and writers Zak Penn (and Edward Norton, who made an uncredited re-write on his character) doesn't really forget the events of the first movie, but still makes sure everyone else keeps up with a new and different story. Bruce Banner (Edward Norton) is now in hiding, still in search for a cure for his ""sickness"" with the help of an unseen contributor. Meanwhile, Gen. Ross (William Hurt) is still in search of our monster-transforming fugitive, this time with the help of a bloodthirsty assassin (Tim Roth) who is proves his more than a match for our hero (and we learn later, more than a match for the Hulk as well).Unlike Lee's artsy version, Leterrier isn't afraid to push through with the action for most of the time, even if his direction of the dramatic scenes are just as slow-moving as Lee's. The still-developing romance between Buce and Betty Ross (Liv Tyler) just doesn't spark. Norton, a fine actor who does a good job in deepening the character, just lacks the charisma of even a doomed comic book character, while Tyler just doesn't add anything to the role. Hurt and Roth actually add some actual depth to the proceedings. While it won't compare to the Iron Men and Dark Knights of the same year, Leterrier does deliver the ""Hulk Smash"" fans expect, if very little else.Rating: *** out of 5.","
            6/10
            "
"brando647","16 November 2008","I was not one of those who hated Ang Lee's 2003 portrayal of the Hulk. I did enjoy it to an extent; it was a bit slow-moving and there were some parts that needed some improvement, but it was overall a decent film. I do agree that Louis Letterier's 2008 film was a vast improvement, though. It improved on all of the issues I had with Lee's film. The film is a reboot of the dying franchise: Bruce Banner has been hiding in Brazil, attempting to keep a low profile while he searches for a cure for his condition, but General Ross becomes aware of his location and enlists the aid of Emil Blonsky, a soldier with a mean streak. A bit of non-sanctioned experimentation later and Blonsky becomes a creature rivaling even the Hulk in power.One issue I had with Lee's 2003 film was the slow-pacing; the film felt as if it dragged forever between action scenes. It wasn't necessarily the fault of the cast, but seemed more to do with a story that didn't really grab me. Letterier's film amps up the excitement and interest levels a bit with a stronger story and better action sequences. The Hulk's fight against three gamma-irradiated dogs in the previous film doesn't even compare to the Hulk's battle against the Army on the college campus in this film. I didn't see the Hulk from 2003 as being overly-cartoonish in appearance but I can see how some others did. The new film gives the Hulk a grittier, stronger, more realistic style (as realistic as a 9-foot tall green giant can be) and the Abomination looks just as good.In general, I also dug the new cast better than the previous. Ed Norton was great as Bruce Banner, giving him a great blend of meekness and inner strength. From what I understand, Norton is a huge fan of the source material so you know he must've given this role everything he had. I enjoyed Liv Tyler as Betty Ross, though there were times when I missed Jennifer Connelly, and Tim Roth has long been one of my favorite actors so it was great to see him go with the villainous side this time around as Blonsky. William Hurt was a fine General Ross though, just as Liv Tyler, there were times when I thought Sam Elliot would've put in a stronger performance (plus, there were a handful of instances where Hurt came off as over-acting a bit, in my opinion...).It's great to have the character of the Hulk back in the hands of Marvel and they've done a great job of rejuvenating the franchise. I loved this film and, while it wasn't on par with 2008's Iron Man film, it was a great superhero flick. The action was brutal, the story was entertaining, and the cast was near perfect. My only real issue with the film was the ending; without going into detail, I thought the resolution of the final battle between the Hulk and Abomination was anti-climactic. I remember first watching the scene and the only thought that popped into my head was ""That's IT?!"". Otherwise, it's a great movie and a good way to spend two hours.","
            8/10
            "
"cherold","12 September 2012","With only the vaguest whiff of a story and a lack of character development even in Bruce Banner, the sort of tortured conflicted comic book character seemingly custom-made for character development, The Incredible Hulk really only has its special effects going for it. And while those are decent, a movie that is nothing but its special effects is not a movie.Ed Norton doesn't really do much with the role. Yes, I know Ed Norton is a brilliant actor prone to giving amazing performances, but he just doesn't do that here; Mark Rufallo's laconic Bruce Banner in the Avengers is far more interesting than Norton's here.Frankly, I was just bored. Not so bored that I stopped watching, but consistently restless and never drawn in.","
            5/10
            "
