"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"TheLittleSongbird","9 June 2009","I thought this a very well done film indeed. I will say the film looks just splendid, especially the scenes in Narnia, with beautiful snowy sets (some looked as though it had come from the LOTR trilogy). However, some of the scenes looked as though they had been computerised, such as the scene with the children and beavers running across the ice. There were also some attempts to put some humour into the story like the professor's line ""ah yes, the weeping one"" in reference to Lucy and the beavers especially, but because the director had taken liberties to make the story darker, the humour didn't quite work. However there are a number of positives, like the spirited performances of the children, Georgie Henley especially, better than Sophie Wilcox's rather goofy portrayal in the 1988 series. James McAvoy is charming as Mr. Tumnus, and Liam Neeson was majestic as Aslan. But the acting honours go to Tilda Swinton as the White Witch, even with her calmness she dominates the screen, in a sometimes chilling portrayal as the character. The film was fairly faithful to the book, but the added scenes and dialogue failed to engage as much. All, a flawed but enjoyable film. 7/10 Bethany Cox","
            7/10
            "
"lavatch","29 December 2005","With an appeal to both adults and children, the British author C. S. Lewis wrote seven books in his Chronicles of Narnia series. The stories are rich in mythology and religious symbolism, drawing upon archetypes from the Norse, Greco-Roman, Persian, medieval chivalric, and Judeo-Christian traditions.Now comes this wonderful film of the first chronicle, ""The Lion, the Witch, and the Wardrobe."" The beautiful cinematography and the terrific performances of the children make this film outstanding for family viewing. As integrated with the live actors, the colorful animal characters, especially the Lion (Jesus), reveal brilliant technical film-making as well.Lewis's books are not overtly allegorical. Rather, the symbols and the messages are subtle. The four children in the story (Peter, Susan, Edmund, and Lucy) were inspired by the actual children evacuated from London during World War II, who spent time in Lewis's home. Lewis wanted his books to be enjoyed by young people who would later in their lives draw the spiritual meanings from the stories. In this area, the film is enormously faithful to the original book and would have made the author extremely proud.","
            9/10
            "
"arabianardour","23 December 2005","The Lion the Witch and the Wardrobe should go down in the history books right up there with the likes of Lord of the Rings. I went to see it expecting a very good movie. I came out stunned by the magnitude of the picture. Everything about it is so well done, the casting, the scenery, the score. Lord of the Rings is the only thing I can think of to compare it to. I experienced the same overwhelming sense of awe watching both of these phenomenal pictures. The CG images are very good, though not quite as startlingly realistic as those in LOTR. I cannot find fault with the casting in any way.Though the voice of Liam Neeson is not as I would have imagined a lion's at first, it is smooth, confident, and effective. Aslan is given the presence so essential to the heart of the story. I must comment on the performance of James McAvoy as Mr. Tumnus, which I believe was the best in the film. Lucy was adorable, and surprisingly convincing, and Peter was given a very firm performance. I was a little nervous about how Edmund would turn out, but I needn't have worried; those large, startlingly dark eyes are perfect for the change from traitor to hero. I commend the directors of the movie on their strict adherence to the book. Narnia isn't just ""based"" on the book. It IS the book. The scope, depth, and wonder of Lewis's world have been captured in a timeless manner that should be cherished for all ages. This is a movie for everyone, at a level for children to understand, yet with a fast plot and exciting battle sequences that will keep anyone interested. The last battle scene especially is as touching as any I have ever seen, including those in LOTR, putting tears in my eyes even while my heart soared. Go see Narnia for an exciting, well-done film, and a timeless message that our world so desperately needs.Ten stars!!","
            10/10
            "
"long-ford","9 January 2009","The Lion, The Witch and The Wardrobe is an extremely enjoyable filmization of CS Lewis's magical childhood epic. The story expertly weaves in childhood themes with a modern day Christian plot line (including a slightly grisly 'crucifiction' scene) to create an enchanting motion picture. Tilda Swinton is superb as the sinister White Witch. The children are average though young Georgie Henly stands out. The Special effects are more than adequate, with a specially impressive rendering of Aslan. The film moves slowly initially and its epic nature become apparent only towards the end with a vicious (but bloodless) final battle. All told, a pleasant surprise indeed! Overall 8/10","
            7/10
            "
"ma-cortes","11 December 2007","This enjoyable story produced by Walt Disney Pictures is based on C.S Lewis books. It begins during German air raids over London in WWII. The Pevensie four children(Henley,Keynes,Moseley and Poppewell) are sent to live at the country house of eccentric teacher Kike(Jim Broadvent). Meantime they're playing hide and seek, Lucy encounters a strange wardrobe that lead the snowy land of Narnia . There, she finds a sympathetic but coward faun(James McAvoy). Later she returns at home and the others don't believe her at first, but soon are convinced. Then, all of them go throughout the fantastic world with fauns and centaurs and where animals speaking, a beaver( voice by Ray Winstone), fox(voice by Rupert Everett) and furthermore the Father Christmas(James Cosmo). This magic land with perpetual winter is ruled by the nasty White Witch(Tilda Swinton). But the children are the chosen ones, according an ancient prophecy, and they team up with Aslem, the mighty Lion and real king of Narnia , fighting to defeat the evil witch in an epic finale battle.The pic is a magic story with rip-snorting adventures, exciting fantasy, sensational scenarios and good feeling. Plenty of action and emotion and with an incredible battle scenes similar to ¨Lord of the Rings¨. Provide enough amusement to keep the chat rooms humming until the epic ending comes out. In spite of overlong runtime and the difficult of adapting, the film still managing to keep a quick enough pace for those unfamiliar with the lengthy literary and highly detailed work by C. S. Lewis. This two and a half hour movie stays closer to the original work than any of the former efforts, mostly animated. The film displays a colorful and evocative cinematography by Donald McAlpine. Musical score fitting perfectly to the action-adventure by Harry Gregson-Williams. The motion picture is marvellously directed by Andrew Adamson, he's the director,producer, writer of ¨Shrek¨ trilogy. Rating : Above average and worthwhile seeing . It's a very likable adventure-fantasy and enormously appealing for kids, adolescents and all family.","
            8/10
            "
"stiva","31 December 2008","A wonderful movie. The characters are beautifully made from a well chosen characters. The CGI and special effects are top notch. The centaurs, beavers, trees, tigers, bears, fox, all are taking. Oh! yeah, they are talking. The creators have done an excellent job in bringing out the emotions, the lip sync, and the body language of various animal, very well. The White Witch was scary as hell. The final battle sequence was spectacular. I was amazed with the battle sequence.Aslan's character was the best. I love the way the Lion talks, walks and emotes. It's simply amazing. Amazing direction. Amazing music. Excellent make-up. Amazing editing work. A very good adoption of the Narnia series. Very funny movie too. Worth watching.","
            8/10
            "
"evawatches","29 November 2005","To sum things up: I loved this movie.I had been waiting for it ever since it was announced, so of course I couldn't pass up the chance to see a press preview this morning. And, while there were some definite weaknesses (mostly in the quality of the animations), overall I was completely convinced. Naturally it did not coincide 100% with my own vision of Narnia visually, but emotionally it rang absolutely true, choking me up several times and really touching me. I walked out of the theatre with a warm, contented feeling - just like I feel every time I read C.S. Lewis' book! The stand-out performance was definitely Tilda Swinton's as the White Witch, but I liked all actors/voices, from cute little Lucy (newcomer Georgie Henley) to majestic Aslan (Liam Neeson). I thought the children did a great job, considering their relative inexperience and the amount of blue screen work involved.Tip: Stay seated through the actor credits - afterwards there's another small scene.","
            8/10
            "
"nycritic","10 January 2006","After the massive success of LORD OF THE RINGS it would be only fitting to continue the exploration of other dimensions as created by equally talented authors, so when it was announced that C. S. Lewis' THE CHRONICLES OF NARNIA: THE LION, THE WITCH AND THE WARDBROBE would be given the film treatment I was more than anxious to see what would come of it. Early screenings gave it great reviews, and when I viewed I wasn't disappointed despite the Christ references.Four children are sent away from their London home to a professor's estate in the countryside in order to escape the bombings from the Nazi invaders. What they find there, aside from a severe place not unlike what V. C. Andrews would depict in FLOWERS IN THE ATTIC, is a wardrobe that opens the doors to another world -- a parallel one if you may -- in which winter is ever present, but Christmas never takes place. This is Narnia, and it is under control of the White Witch Jadis who is aware of a prophecy that four humans will put an end to her wintry empire, and sets out her minions against the children who have entered her world while bribing one of them -- the rebellious Edmund -- to join her as she holds him prisoner much like the witch in Hansel and Gretel did. Her plans are to overthrow the Lion King, Aslan, and rule forever. Parallels to her world and the world as threatened by the Nazis are striking, and Tilda Swinton's transformation into the very Aryan looking Jadis is chilling, more so in her seductiveness. At times I was reminded of Cate Blanchett (they have very similar features), but I think Blanchett is to Galadriel as Swinton is to Jadis. Marvelous actresses both, but Swinton can claim her breakthrough with her role here.With much less gravitas than the LORD OF THE RINGS trilogy, THE CHRONICLES OF NARNIA arrives much faster to its goal than the former does and the reason is that the books C. S. Lewis wrote are fairly slim volumes while J. R. R. Tolkien's book is a massive tome. Also, there is always the sense that the NARNIA books are more geared towards children and for much of the movie's duration there is little doubt that this is what it is: its four leads are children, many of the talking animals they meet are drawn in a way to appeal to children, and even the White Witch's castle has a storybook quality to it. Only in the appearance of Aslan does the story take a much more adult form, and its Messianic theme will not be lost on the older audience. Even so, the implications surrounding Aslan's self immolation can be interpreted in non-religious forms: if anything, it's also very similar to Gandalf's fall into the pit with the Balrog in tow in THE FELLOWSHIP OF THE RING. Both character's 'death' symbolize their own necessary transmogrification, only to arise more powerful than before and take their troops to victory.NARNIA is a visually stunning film even in its quiet moments when the children, one by one, are entering its world through the wardrobe. I was reminded of Stephen King's DARK TOWER series: unless the characters believed in the world behind the wardrobe, it didn't exist, and this is true here. Narnia only exists if you believe hard enough in it, and time, of course, stops... or let's say, it marches at a totally different beat, also visible in Stephen King's DARK TOWER series.Performances are quite remarkable, especially for a fantasy film. All of the actors doing the voice overs bring their characters to bubbling life, and Liam Neeson as Aslan is wise and all-knowing. The child actors are definitely comfortable in their roles and while I saw glimpses of the children of the aforementioned V. C. Andrews Gothic novel, they are real people: The younger ones fare better than the older ones, but then again they are on screen more and their stories are more crucial than the older ones although all four eventually converge into the climactic battle sequence.All in all a great film, equally meant to be enjoyed by children and adults alike, and one which should spawn a very interesting following.","
            10/10
            "
"tollini","5 December 2005","I saw this film on November 30th in Indianapolis. I am one of the judges for the Heartland Film Festival that screens films for their Truly Moving Picture Award. A Truly Moving Picture ""explores the human journey by artistically expressing hope and respect for the positive values of life."" Heartland gave that award to this film.Four young children enter the timeless world of Narnia through the door of a wardrobe piece of furniture while playing hide-and-seek. And what a world it is. There are talking animals, dwarfs, giants, beasts, centaurs, and indescribable half-human combinations. And, in this world of Narnia there is a titanic struggle between the White Witch and her evil army and the good lion Aslan and his noble army. Although it doesn't seem possible, you can suspend disbelief and become engaged in the story because the artistry and technology are so outstanding. The art direction, special effects, cinematography, editing and sound will most likely and should be nominated for Academy Awards. The lion Aslan dominates your attention in every scene he appears in, and as the story unfolds, he becomes as human-like as any of the four children. The four children seem normal enough with their constant teasing and fighting among themselves, but when events truly matter, they come together and exemplify the highest standards of sacrifice, courage, fidelity and heroism. Both children and adults will find inspiration and role models in these four children. The lion Aslan is a mystical and almost biblical hero. There are many parallels between Aslan and Christianity, and you can watch this film anywhere in the religious-secular spectrum you care to. I suspect that over many years the other six books that make up The Chronicles of Narnia will be made into movies and they will have the same type of financial and artistic success as The Lord of the Rings film trilogy had. That is high praise indeed.FYI  There is a Truly Moving Pictures web site where there is a listing of past Truly Moving Picture Award winners that are now either at the theater or available on video.","
            8/10
            "
"Pasafist","3 December 2005","There is one scene in Andrew Adamson's new film THE CHRONICLES OF NARNIA: THE LION, THE WITCH, AND THE WARDROBE, that for me walking into the theater that needed to be perfect. If not the whole movie and (the continued franchise of sequels) would fall flat on its face. If the film did not capture this scene I believe the heart and soul of C.S. Lewis and his magical world would have been completely destroyed.But I digress! Walking into Narnia is an interesting experience for me. In all honesty I find C.S. Lewis to be a great writer that I can hardly read. His books are hailed left and right and I just can't read them. It's not Lewis's fault. I realize it's my own media saturated thick head that blocks me up. So a few weeks ago after a screening of a 10 minute super trailer for NARNIA I decided to dust off my old copy of THE CHRONICLES OF NARNIA and decided to give it a chance. I read the first two books in about a week and I wondered to myself. What was my problem? What took me so long to become enchanted by this mystical world? I've come to realize I cannot appreciate the classics. I really think that's my loss and something I intend to work on in the new year.So anyway, sitting down in the movie theater I psyched myself up I intended to be wowed. I wanted Narnia to come alive on screen like it did in my mind and I think it fell a little short of my expectations but in the end made me smile.NARNIA tells the story of four children. When the youngest named Lucy (Georgie Henley) finds a magic wardrobe that transports her into the magical land of Narnia. Narnia is a land of talking animals, magical fauns, and the evil White Witch (Tilda Swinton) whose enslaved the land causing it to be forever winter and never Christmas. Her sister Susan (Anna Popplewell), and brothers Peter (William Moseley), and Edmund (Skandar Keynes) don't believe her story. Until the day all the children enter the Land of Narnia. A land and get caught up in a war that may fulfill a prophecy that will bring peace to Narnia.NARNIA is a fascinating example of a film that doesn't exactly add up but in the end is satisfying. The screenplay is riddled with the problems from the very beginning. It tries so hard to stick to the book that the early moments of the film feel flat. Even when the children get to Narnia you feel the same way. Narnia feels just like the British Country side the children have come from. Narnia should feel different and it doesn't. Why is their a light post growing in the middle of the forest? Why are the animals talking? Why is it always winter and yet never Christmas? These questions should inspire awe. NARNIA should glow and jump off the screen, but the first act is to busy getting from point a to point b than to allow us to immerse ourselves in the NARNIAN landscape. If your like me you'll find yourself thinking ""why does this feel like a third rate LORD OF THE RINGS?"" I think what's missing is the thing that made the novel so enchanting. It's Lewis's self aware narration. Even when at the greatest peril it was Lewis's kind words and silly aside comments that lightened the situation. Admittedly that would be difficult in a film but It would have been nice if they'd tried. Instead they stuck humor in places that seemed out of place.But fear not, all is not lost. Because if you can get through the first hour (which really isn't that bad). You'll come out on the other side and into a much better and powerful movie. Once Aslan (voiced by Liam Neeson) the Mighty Lion comes on the screen you're in for the ride of your life.I mentioned earlier there is one scene that needed to be perfect or the film would be destroyed. That scene involves Aslan and the stone table. They got it right, and oh boy was I impressed. If Aslan is not strong, if Aslan is not seen as a threat even as he is being tormented this scene falls apart. But Adamson and his team make Aslan a character to be reckoned with. If you don't gasp as Aslan climbs those stairs and the beasts and the White Witch part the way for him, if you don't feel the pain and anguish of Aslan's torment, and if your tear ducts don't well up when the scene is over, I would doubt your humanity ( just a little.) After that the film only gets better, there is an awesome battle sequence, and even Narnia begins to take a life of its own. It gives each character their moment to shine and it wraps itself up neatly enough. After the film was over I can't wait for PRINCE CASPIAN (or THE HORSE AND HIS BOY) to hit the big screen.I would also like to single out little Georgie Henley (watch out Dakota Fanning) the little girl who plays Lucy. She gives the early part of the film a lot more life and fills the screen like very few child actors can. This little girl (in her debut role) has an innocence and yet a maturity that belies her age. This little girl gives a performance that should really net her an Oscar nod. It probably won't but if I didn't bring it up who would? While this film has a few rough spots and a first act that needed some work THE CHRONICLES OF NARNIA: THE LION, THE WITCH, and THE WARDROBE is an enchanting journey that is worth the price of admission. Seek it out.","
            10/10
            "
