"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Marshall-D-Teach","6 March 2020","Exactly the right movie at exactly the right time. The music and atmosphere, the sets and costume design, the special effects, the cast. Everything lined up perfectly for a young shaggy. That kid was a gothy nerd with love for video-games, horror, industrial music and Mila Jovovich. This movie managed to check all the boxes. Watching it now, it still pretty much holds up. Maybe a little cheesy but stylish and entertaining. 6 stars for watchability, one for nostalgia.","
            8/10
            "
"enkephalin07","16 January 2005","I had to sift long and deep for a good comment on this. Why all the hostility? I think there was great chemistry on this production and it shows; the actors and crew involved loved the game and had a good time making this. This movie successfully recreated the feel of the game, and because it kept exposition to a minimum of what you needed to know for this particular story and didn't borrow from or revise any of the original characters or settings, it supported and strengthened the franchise. No story is retold here, no words are wasted, the setting, feel and pace is familiar to fans of Resident Evil and yet it's perfectly accessible to those unfamiliar with the broader storyline. Not giving the fan-boys their favorite characters was a good choice since characters tend to get mangled in adaptation, and yet the fan-boys still complain. With this film you have a good, watchable story that can partake of the Resident Evil cosmology, showing it due respect.It did an excellent job establishing characters without too much unnecessary background, developing them just enough to make you want to know what they'll do next, to make you care before the sudden and gruesome happens to them. The acting was above par for a Resident Evil, certainly much better than the first game. The plot was no more comic bookish than any of the games. My one complaint was that the characters were too battle-trained, too slick, too good at fighting for them to be sympathetic horror subjects. This could've been balanced out with more reaction shots showing the soldiers wetting themselves. But Alice's over-the-top commando-style action made her too much of a super heroine to really make anyone concerned about her survival; characters made of Teflon make good action but apathetic horror subjects.","
            9/10
            "
"teslaman","29 November 2007","As a big fan of splatter and horror films i was gladly surprised when i watched this. I haven't played the game so i had no idea what to expect and had nothing to compare with. I really feel that this pays homage to the old zombie films at least to an extent. The zombies here are a little bit faster though.It begins with a nice back story and then builds slowly in pace to a climactic frenzy. The effects are top notch, solid directing, a really imaginative and eerie production design and great acting.Yes, i may be a little biased but i really like Milla Jovovich. I think this is the kind of role that fits her best, strong kick ass attitude with an odd personality wrapped in a seemingly fragile shell. Her performance here reminds me a bit of the character she played in ""The fifth element"" and also the character in the later ""Ultraviolet"" The other actors did a good job as well so she's not the only one to get credit although the movie revolves around her character. The child AI is a very nice and creepy addition to the atmosphere.The RE theme could have ended up as a nice trilogy but the sequel unfortunately lacks nearly everything(except Milla) that this film delivers. Not that RE2 is a complete mess but nowhere near this. I haven't seen the third installment yet but even if that one holds true in quality to this one number two becomes the odd one out.If you like zombie and action films you'll certainly like this one.","
            7/10
            "
"cherold","8 October 2003","This movie means business. Quick disaster with a mystery to it, jarring deaths, naked Milla, all in the first few minutes. It keeps up the pace throughout. In terms of critical comments, yes, you don't really care about the characters, but so what? How often do you really care about the monster fodder in horror films? And true, it wasn't a literal working of the movie, it didn't take place in a mansion and it didn't involve exploring lots of rooms and solving puzzles. That's because it's a movie. A literal translation of Resident Evil would probably be really dull. Games and movies are very different mediums. I don't think some people here understand that. One guy said he thought the movie rocked but after repeated viewings he thought it sucked, and that's a video game player attitude - movies don't have to have good replay value, it's okay to enjoy them once. I only enjoyed Star Wars once, but I don't think it sucked, it just didn't have a lot of depth. Not every movie has to be Citizen Kane. It was an engaging story, moved like lightning and had some excellent scares.","
            8/10
            "
"DVD_Connoisseur","22 June 2007","First things first, I really like ""Resident Evil"". While I can't comment on the success of the conversion to a movie as I've never played any of the numerous video games, the film is beautifully shot and has an urgent pace. It also has a great looking cast, a thumping soundtrack and plenty of boys' toys.Milla Jovovich is stunning as the heroine, Alice. Whoever thought of casting Jovovich in this role deserves a bonus. Watching this beautiful star kick various forms of zombie butt while wearing a short red dress is a wonderful experience.Anderson's movies may be accused of being style over substance but there's no doubting that ""Shopping"", ""Event Horizon"" and ""Resident Evil"" are fantastic examples of eye candy. Every shot is beautifully composed and the film has a high-budget sheen.8 out of 10. Casio G-Shock fans will be in their element watching this movie.","
            8/10
            "
"repojack","8 November 2020","I originally watched ""Resident Evil"" at a movie theater when it was first released in 2002. I hadn't played the games. There was no Rotten Tomatoes and I didn't read reviews back then so I went in blind. And I utterly enjoyed the movie: the story, the action sequences, the underground ""Hive,"" Mila Jovovich and Michelle Rodriguez kicking serious ass, and more.Panned by critics (36% RT) but liked by users (67% RT), Resident Evil was one of the first examples of how mainstream critics just don't ""get"" horror. Movies that try to be artsy get great reviews even as key elements fall flat for the rest of us. The recent ""Beach House"" is a perfect example of this -- it was loved by critics (81% RT) and panned by users (28%).Unfortunately, the rest of the ""Resident Evil"" sequels except for a few moments, rarely captured that first movie's originality and allure. Instead, check out the writer/director's excellent previous outing ""Event Horizon.""","
            7/10
            "
"mbworm","7 January 2008","""Resident Evil"" was a smart and scary game. The darkness and the surprises were huge scare factors. In that famous game, you find yourself trapped in a mansion crawling with the undead because of a mistake made by the Umbrella Corporation.Director Paul W.S. Anderson makes a fast, dark guilty pleasure of a film from this game with ""Resident Evil"".Milla Jovovich is Alice, who wakes up in a creepy, poorly lit mansion at night in a remote forest. She has no memory of who she is or why she's here, but after a group of soldiers bursts in and takes her to a hidden lab underneath the mansion with them, she quickly begins to realize a terrible secret. She and the others find themselves locked in ""The Hive"", an enormous, elaborate underground structure that was sealed by the supercomputer controlling it. It soon becomes evident that an experiment called ""The T-Virus"" escaped into the air and killed everyone. But nobody really stayed dead. Now the remaining survivors must fight their way back out of The Hive before the door seals permanently... and at the same time they must contain the virus before it reaches the surface. The film moves at a breakneck pace, with some elaborate sets and great cinematography that sets the dark mood well for this atmospheric sci-fi thriller.","
            9/10
            "
"Dragoneyed363","29 April 2008","Resident Evil is probably my favorite zombie movie next to Planet Terror. It had flaws, some acting was poor, but still was one great time from start to finish and excellently crafted entertainment!!!!! It had wonderful action, nice gore and the performances overall were exceedingly decent for what they needed to be for a video game adaptation. I especially love Michelle Rodriguez's portrayal of Pain; amazing character. I first thought when I was watching this film that it was going to be an over-the-top gore movie with way to much blood and carnage, not so much as focusing on the main point of the story, but it turned out unimaginably well, for I thought it wasn't going to be that good at all, and the complexity and edgy scenes and screenplay surprised me. Milla Jovovich and Michelle Rodriguez acted wonderfully in this film and this was a great action\horror movie that I am extremely glad I was able to have seen, and will gladly see over and over again.","
            4/10
            "
"dilapidated_mind","2 April 2005","Where to start, I am a big fan of the Resident evil series (well the first 3 anyway) and once news reached my ears that they were making a movie of the first game I was pretty excited. But then I actually sat down to watch it, and to say the least was very disappointed with the out come.BIG SPOILERS AHEAD The film begins in an underground laboratory owned by the corporation Umbrealla inc. The lab is hidden deep within the basement of a mansion. Some asshole releases the virus the scientists are working on which can reanimate dead cells. The scientists get contaminated.Now when I saw this I thought fine its not 100% accurate but hey it still has the potential to be a great movie.NOThe computer within the lab goes psycho, sealing all the rooms off under quarantined regulations, then it begins wiping out all the scientists. Some woman wakes up who has lost all her memory. Deciding the time is right to go for a walk in the cold while wearing nothing but a highly revealing red dress she sets off on her journey, minuites later an army team burst through the windows and join her in her quest to do... not much. About 25 minutes further into the movie this team comes to a large hallway. The hallway leads to the computers core where they can shut it down. And low and behold the computer kills off 2/3 of the cast with its lasers faster than you can say ""danger Will Robbinson danger"" The survivors shut the computer down; zombies come out, and the team being of the greatest intellect decide the best way to execute the undead is by leg shots and shouting ""Stop"" a good 14 times. Team intelligence then decide they shouldn't have tried to switch the computer off, and so they switch the computer back on. Near the end of the film we are introduced to the ultimate biological weapon resembling a single licker, no I'm not kidding, they also incorectly name it a Hunter, where the hell is Tyrant you might ask? It's not as if it was an important part of the series, Tyrant virus and all. Our film draws to a close as the ""ultimate killing machine"" discovers its huge weakness it touches train tracks and promptly explodes.*yawn* The film has few plot twists which I wont spoil here. Most of the enemies from the series don't show up, in fact, the majority of the film concentrates on the evil computer not the creatures. Not even zombies.This movie would have been much better if it WASN'T called Resident Evil, but something else, anything else. Really, it bears little relation to the video games anyway besides the virus's and corporation's name and I still feel this film was only called Resident Evil so Paul Anderson could sell his hand me down script and market it towards a wider crowd (maybe this could be attributed to Final Fantasy: The Spirits Within as well). The point is if this movie was called Cube 3 he could still get away with it. In fact this film probably is Cube 3, just named Resident Evil to attract fans of the series to watch this very average zombiefest.Oh well it can't be as bad as Street Fighter the movie.","
            8/10
            "
"claudio_carvalho","31 January 2017","In the near future, the powerful Umbrella Corporation has a hidden research facility called The Hive underneath Raccoon City, where the scientists develop genetically engineered drugs for medical purpose and biological weapons. After stealing the lethal T-virus, a thief contaminates The Hive and the artificial intelligence Red Queen seals the Hive and kills all the staff and guinea pigs. A woman called Alice (Milla Jovovich) awakes naked in a bathroom of a mansion without memory and soon a commando led by a man called One (Colin Salmon) subdues her and another man called Matt (Eric Mabius), who claims to be a cop. Alice learns that she is a security guard with her partner Spence (James Purefoy) assigned to protect the entrance to The Hive and her memory will return in an undefined period since she was affected by a gas. The Red Queen had a malfunctioning five hours ago and had shut down the facility and killed everybody releasing a lethal gas. Now they need to shut down the Red Queen and restart her systems. They use an underground train to reach The Hive and the Red Queen asks then to leave the place. However Kaplan (Martin Crewes) disables the Red Queen opening the doors in The Hive. Soon the group learns that the staff has turned into zombies and now they are under siege of the zombies. Most of the commando dies and only Alice, Spence, Matt, Rain (Michelle Rodriguez) and Kaplan survive. Now they need to find a way to escape from The Hive since the system will shut down the exits in a short period. Who will survive?""Resident Evil"" is a great sci-fi action horror film by Paul W.S. Anderson. Milla Jovovich, Michelle Rodriguez and the rest of the cast have good performances and the non-stop action is engaging. The gloomy pessimist conclusion fits perfectly to the story. My vote is eight.Title (Brazil): ""Resident Evil: O Hóspede Maldito"" (""Resident Evil: The Damned Guest"")","
            8/10
            "
